Date,Open,High,Low,Close,Adj Close,Volume
7/5/2009,2.3695,2.3739,2.3464,2.3671,2.3671,-
7/6/2009,2.3681,2.3699,2.3502,2.351,2.351,-
7/7/2009,2.3517,2.356,2.3402,2.3488,2.3488,-
7/8/2009,2.3498,2.3875,2.3474,2.3823,2.3823,-
7/9/2009,2.3815,2.3828,2.3633,2.3705,2.3705,-
7/12/2009,2.3684,2.3748,2.3509,2.3726,2.3726,-
7/13/2009,2.3732,2.3842,2.3671,2.3795,2.3795,-
7/14/2009,2.3801,2.3915,2.3709,2.3858,2.3858,-
7/15/2009,2.3858,2.3889,2.3775,2.3837,2.3837,-
7/16/2009,2.3831,2.3852,2.3593,2.367,2.367,-
7/19/2009,2.3833,2.3834,2.3784,2.3829,2.3829,-
7/20/2009,2.3697,2.3708,2.3671,2.3679,2.3679,-
7/21/2009,2.3723,2.3741,2.3716,2.3718,2.3718,-
7/22/2009,2.3812,2.3825,2.3798,2.3807,2.3807,-
7/23/2009,2.3812,2.3844,2.361,2.3686,2.3686,-
7/26/2009,2.3737,2.3737,2.3711,2.3732,2.3732,-
7/27/2009,2.3649,2.366,2.3634,2.3657,2.3657,-
7/28/2009,2.3665,2.3678,2.3642,2.3643,2.3643,-
7/29/2009,2.3816,2.3828,2.3804,2.3808,2.3808,-
7/30/2009,2.3816,2.407,2.377,2.3915,2.3915,-
8/2/2009,2.426,2.4266,2.4247,2.4259,2.4259,-
8/3/2009,2.427,2.4291,2.4265,2.4279,2.4279,-
8/4/2009,2.4361,2.4369,2.4346,2.4356,2.4356,-
8/5/2009,2.4105,2.4122,2.4092,2.4121,2.4121,-
8/6/2009,2.4105,2.4155,2.3986,2.4007,2.4007,-
8/9/2009,2.3809,2.3815,2.3788,2.3802,2.3802,-
8/10/2009,2.386,2.3873,2.3849,2.3857,2.3857,-
8/11/2009,2.3828,2.3838,2.3805,2.3817,2.3817,-
8/12/2009,2.3896,2.3908,2.3883,2.3894,2.3894,-
8/13/2009,2.3896,2.3953,2.3775,2.3835,2.3835,-
8/16/2009,2.3701,2.3712,2.3681,2.3701,2.3701,-
8/17/2009,2.3966,2.3999,2.3964,2.3999,2.3999,-
8/18/2009,2.3939,2.396,2.3922,2.3935,2.3935,-
8/19/2009,2.3759,2.3793,2.3759,2.3792,2.3792,-
8/20/2009,2.3759,2.3886,2.3684,2.3684,2.3684,-
8/23/2009,2.3691,2.3701,2.3664,2.3668,2.3668,-
8/24/2009,2.3578,2.3581,2.3537,2.3549,2.3549,-
8/25/2009,2.3449,2.3467,2.3449,2.3454,2.3454,-
8/26/2009,2.3462,2.3488,2.3462,2.3474,2.3474,-
8/27/2009,2.3462,2.3553,2.336,2.3362,2.3362,-
8/30/2009,2.3485,2.3497,2.3473,2.348,2.348,-
8/31/2009,2.3339,2.3344,2.3277,2.3299,2.3299,-
9/1/2009,2.3452,2.3487,2.3451,2.3477,2.3477,-
9/2/2009,2.3506,2.3545,2.3504,2.3523,2.3523,-
9/3/2009,2.3506,2.3586,2.3471,2.3576,2.3576,-
9/6/2009,2.3414,2.3426,2.3406,2.3417,2.3417,-
9/7/2009,2.3524,2.3556,2.3524,2.3547,2.3547,-
9/8/2009,2.3543,2.3557,2.3536,2.3541,2.3541,-
9/9/2009,2.3726,2.3735,2.371,2.3715,2.3715,-
9/10/2009,2.3726,2.3795,2.3659,2.368,2.368,-
9/13/2009,2.3594,2.3632,2.3594,2.3624,2.3624,-
9/14/2009,2.3391,2.3398,2.3379,2.3393,2.3393,-
9/15/2009,2.3246,2.3266,2.3243,2.325,2.325,-
9/16/2009,2.3268,2.3274,2.3244,2.3249,2.3249,-
9/17/2009,2.3268,2.3274,2.293,2.2981,2.2981,-
9/20/2009,2.2994,2.3005,2.2968,2.2975,2.2975,-
9/21/2009,2.3094,2.3122,2.3087,2.3095,2.3095,-
9/22/2009,2.3131,2.3143,2.3116,2.3136,2.3136,-
9/23/2009,2.2765,2.2781,2.2613,2.2642,2.2642,-
9/24/2009,2.2765,2.2781,2.2537,2.2567,2.2567,-
9/27/2009,2.253,2.2538,2.2518,2.2522,2.2522,-
9/28/2009,2.2637,2.2653,2.2612,2.265,2.265,-
9/29/2009,2.2546,2.2558,2.2527,2.2536,2.2536,-
9/30/2009,2.2512,2.253,2.2496,2.2502,2.2502,-
10/1/2009,2.2512,2.2575,2.2406,2.2567,2.2567,-
10/4/2009,2.2433,2.2447,2.2429,2.2447,2.2447,-
10/5/2009,2.23,2.234,2.2296,2.2299,2.2299,-
10/6/2009,2.2322,2.2337,2.2312,2.2315,2.2315,-
10/7/2009,2.2314,2.2326,2.2272,2.2314,2.2314,-
10/8/2009,2.2314,2.2326,2.208,2.2098,2.2098,-
10/11/2009,2.2072,2.2096,2.2068,2.2071,2.2071,-
10/12/2009,2.2217,2.2232,2.221,2.2228,2.2228,-
10/13/2009,2.2228,2.224,2.2226,2.2228,2.2228,-
10/14/2009,2.2617,2.2692,2.2602,2.2692,2.2692,-
10/15/2009,2.2617,2.28,2.2602,2.2746,2.2746,-
10/18/2009,2.2774,2.2815,2.2771,2.2783,2.2783,-
10/19/2009,2.2839,2.2861,2.283,2.2836,2.2836,-
10/20/2009,2.3086,2.31,2.3078,2.3097,2.3097,-
10/21/2009,2.3103,2.3157,2.3103,2.3156,2.3156,-
10/22/2009,2.3103,2.3237,2.2712,2.2727,2.2727,-
10/26/2009,2.2714,2.2852,2.2654,2.2805,2.2805,-
10/27/2009,2.2797,2.2962,2.2781,2.2911,2.2911,-
10/28/2009,2.2912,2.3077,2.2824,2.2994,2.2994,-
10/29/2009,2.3002,2.321,2.2938,2.313,2.313,-
10/30/2009,2.3129,2.3155,2.2947,2.296,2.296,-
11/2/2009,2.3029,2.3065,2.2841,2.2914,2.2914,-
11/3/2009,2.2924,2.3012,2.279,2.2981,2.2981,-
11/4/2009,2.2977,2.3155,2.2944,2.3095,2.3095,-
11/5/2009,2.3091,2.3193,2.3017,2.3132,2.3132,-
11/6/2009,2.3125,2.3156,2.3025,2.3127,2.3127,-
11/9/2009,2.3143,2.3345,2.3132,2.3252,2.3252,-
11/10/2009,2.3247,2.3269,2.3051,2.3226,2.3226,-
11/11/2009,2.3232,2.3258,2.2943,2.2989,2.2989,-
11/12/2009,2.2989,2.3056,2.293,2.3048,2.3048,-
11/13/2009,2.3054,2.3145,2.3028,2.3088,2.3088,-
11/16/2009,2.3155,2.3353,2.3103,2.3291,2.3291,-
11/17/2009,2.3292,2.3369,2.3235,2.3296,2.3296,-
11/18/2009,2.3286,2.331,2.3111,2.3164,2.3164,-
11/19/2009,2.3169,2.3202,2.3077,2.3126,2.3126,-
11/20/2009,2.3124,2.3146,2.2873,2.2911,2.2911,-
11/23/2009,2.2907,2.3031,2.2875,2.3003,2.3003,-
11/24/2009,2.3009,2.3009,2.285,2.296,2.296,-
11/25/2009,2.2961,2.3098,2.2961,2.3024,2.3024,-
